player_id,cricsheet_id,name,machine,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
1088618,02ba80a0,J Merlo,1,pending,,,pending,,
267070,02ba88e3,LB Gcuma,1,pending,,,pending,,
533870,02bce9a8,NCR Larkin,1,pending,,,pending,,
1155625,02c3024c,F Campbell,1,pending,,,pending,,
1438296,02c8fbfc,H Leko,1,pending,,,pending,,
1156620,02d0c9ae,Muhammad Asjed,1,pending,,,pending,,
590021,02d11602,AA Banner,1,pending,,,pending,,
28788,02d55e76,F Ghayas,1,pending,,,pending,,
520279,02df7b37,Nadeem Butt,1,pending,,,pending,,
307709,02e58a32,C Sawad,1,pending,,,pending,,
1435593,02e712ce,L Pemhiwa,1,pending,,,pending,,
315052,02e831e0,AK Shukla,1,pending,,,pending,,
56054,02e83ac5,Naeem Islam,1,pending,,,pending,,
945043,02e96b8c,EL Brown,1,pending,,,pending,,
474782,02f4b99c,Aakarshit Gomel,1,pending,,,pending,,
1198916,02fa5417,R Vishwanath,1,pending,,,pending,,
1276662,02fdf3ca,M May,1,pending,,,pending,,
46150,02ffb11a,MJ Macaulay,1,pending,,,pending,,
48565,0302fea8,HMNC Dhanasinghe,1,pending,,,pending,,
1101865,03095b7c,K Sivaram,1,pending,,,pending,,
596607,030a38e0,Emma Patel,1,pending,,,pending,,
792665,030c39f1,FC Ellingworth,1,pending,,,pending,,
1206495,030f3089,K Yadav,1,pending,,,pending,,
1453574,0311d9ec,Yan Zuying,1,pending,,,pending,,
1232022,0313fec0,F Richards,1,pending,,,pending,,
1285501,0319272d,K Nirmana,1,pending,,,pending,,
1443207,03197911,Rajesh Pillai,1,pending,,,pending,,
27569,031b389c,SS Bandekar,1,pending,,,pending,,
1027853,03244b87,K Wanniarachchi,1,pending,,,pending,,
6060,03252e44,PA Jaques,1,pending,,,pending,,
1204128,032c7eab,Khaibar Deldar,1,pending,,,pending,,
488620,032e4384,T Bokako,1,pending,,,pending,,
1273275,0331c99a,Hassan Mehmood,1,pending,,,pending,,
520131,03355ca8,A Rehman,1,pending,,,pending,,
47855,03356e40,WW Wade,1,pending,,,pending,,
36835,0339f89e,SB Doull,1,pending,,,pending,,
307638,033ac24e,Shafiq Sharif,1,pending,,,pending,,
427195,033d804c,HUK Madushanka,1,pending,,,pending,,
469193,033e9d59,Arjun Vinod,1,pending,,,pending,,
1195143,0348f9a5,TH Tector,1,pending,,,pending,,
37802,034b1472,PJ Malcon,1,pending,,,pending,,
35281,034b4b7d,VRV Singh,1,pending,,,pending,,
10862,034ccc52,K Cranston,1,pending,,,pending,,
414052,034d3c52,A Husain,1,pending,,,pending,,
1486804,034e7939,A Kato-Stafford,1,pending,,,pending,,
539511,03521fd3,HM Nicholls,1,pending,,,pending,,
46788,035cb925,AG Prince,1,pending,,,pending,,
1360649,036b8660,BKB Corbin,1,pending,,,pending,,
1156426,036dcf9b,Saber Zakhil,1,pending,,,pending,,
1497608,036e7ed1,Jai Tiwari,1,pending,,,pending,,
1283128,0371cc19,K Govind,1,pending,,,pending,,
778241,0372c4c5,K L Shrijith,1,pending,,,pending,,
1363432,037429dc,L Haskett,1,pending,,,pending,,
822513,037bf4eb,Imran ullah Gul,1,pending,,,pending,,
301603,037f2b86,Salma Khatun,1,pending,,,pending,,
288284,03806cf8,JR Hazlewood,1,pending,,,pending,,
51198,03850014,C Alfred,1,pending,,,pending,,
596369,0388d3bd,G King,1,pending,,,pending,,
1292544,038ff851,Bhavesh Seth,1,pending,,,pending,,
1438817,039168c7,A Dirannehelage,1,pending,,,pending,,
1156468,0393fbdc,A Pusthay,1,pending,,,pending,,
1193550,0398f255,BJ Pomare,1,pending,,,pending,,
1316845,0398fc0f,SK Ravuri,1,pending,,,pending,,
490958,039923bd,S Dambanevana,1,pending,,,pending,,
1333978,039cabd9,TS Waqavakatoga,1,pending,,,pending,,
1159148,039f8170,K Takahashi,1,pending,,,pending,,
1153149,03a83c50,V Viyaskanth,1,pending,,,pending,,
55456,03ae720f,MW Goodwin,1,pending,,,pending,,
54325,03b09a26,HM Tiffen,1,pending,,,pending,,
1344827,03b5814e,G Mere,1,pending,,,pending,,
